Id_member,Tanggal,Deskripsi_barang,Kategori
1587,2015-01-07,bayam,Sayuran
4038,2015-08-07,buah jeruk,Buah-buahan
4750,2015-09-21,tepung terigu,Bahan dan Bumbu Makanan
1199,2015-10-12,gula,Bahan dan Bumbu Makanan
1603,2015-09-30,mangga,Buah-buahan
3111,2015-01-31,cokelat,Buah-buahan
3894,2015-12-13,pare,Sayuran
1456,2015-09-18,pare,Sayuran
2022,2015-04-03,rempah-rempah,Bahan dan Bumbu Makanan
2505,2015-11-30,air mineral,Makanan dan Minuman
4851,2015-12-20,sosis,Makanan dan Minuman
4293,2015-04-08,kopi,Makanan dan Minuman
2775,2015-06-11,ikan lele,Ikan Segar
3693,2015-02-18,beri,Buah-buahan
1202,2015-07-22,soda,Bahan dan Bumbu Makanan
3699,2015-08-23,beri,Buah-buahan
4152,2015-04-15,udang,Ikan Segar
4155,2015-01-26,buah jeruk,Buah-buahan
4010,2015-12-29,ikan lele,Ikan Segar
4389,2015-10-20,daging bebek,Daging-dagingan
3746,2015-08-17,anggur,Buah-buahan
2560,2015-05-17,sosis,Makanan dan Minuman
1503,2015-07-25,daging ayam,Daging-dagingan
2555,2015-12-23,susu sapi,Makanan dan Minuman
3645,2015-12-12,buah jeruk,Buah-buahan
3886,2015-11-09,soda,Bahan dan Bumbu Makanan
2932,2015-03-20,sosis,Makanan dan Minuman
1711,2015-06-18,sosis,Makanan dan Minuman
4291,2015-08-12,sosis,Makanan dan Minuman
1143,2015-04-25,soda,Bahan dan Bumbu Makanan
4564,2015-08-07,roti bolu,Makanan dan Minuman
3337,2015-05-14,daging sapi,Daging-dagingan
4931,2015-04-05,susu sapi,Makanan dan Minuman
2623,2015-10-10,margarin,Bahan dan Bumbu Makanan
4581,2015-03-04,apel,Buah-buahan
2635,2015-11-06,sosis,Makanan dan Minuman
1095,2015-10-30,kentang,Sayuran
2990,2015-05-23,susu sapi,Makanan dan Minuman
2426,2015-05-06,beri,Buah-buahan
4555,2015-07-11,buah jeruk,Buah-buahan
3635,2015-04-09,apel,Buah-buahan
3058,2015-05-18,kerang,Ikan Segar
4391,2015-03-26,kerang,Ikan Segar
1306,2015-06-23,susu sapi,Makanan dan Minuman
1024,2015-10-08,ikan tongkol,Ikan Segar
1295,2015-07-23,sosis,Makanan dan Minuman
1661,2015-01-06,kentang,Sayuran
4591,2015-05-15,daun singkong,Sayuran
3169,2015-06-14,bayam,Sayuran
3915,2015-05-21,seledri,Sayuran
1127,2015-01-14,sosis,Makanan dan Minuman
4828,2015-08-08,bawang bombai,Sayuran
3683,2015-10-06,daging bebek,Daging-dagingan
1971,2015-09-18,sosis,Makanan dan Minuman
3014,2015-11-11,keju,Makanan dan Minuman
3779,2015-09-15,sosis,Makanan dan Minuman
2489,2015-04-05,susu sapi,Makanan dan Minuman
3564,2015-06-27,penyedap rasa,Bahan dan Bumbu Makanan
4092,2015-09-30,beri,Buah-buahan
3221,2015-01-13,melon,Buah-buahan
1279,2015-06-09,apel,Buah-buahan
2581,2015-08-22,soda,Bahan dan Bumbu Makanan
2295,2015-02-25,roti bolu,Makanan dan Minuman
4760,2015-02-22,wortel,Sayuran
3649,2015-01-16,wortel,Sayuran
1075,2015-11-19,sosis,Makanan dan Minuman
3987,2015-08-19,bayam,Sayuran
4106,2015-08-25,susu sapi,Makanan dan Minuman
4338,2015-06-24,susu sapi,Makanan dan Minuman
4166,2015-06-11,buah jeruk,Buah-buahan
1211,2015-10-03,sosis,Makanan dan Minuman
3954,2015-01-21,sosis,Makanan dan Minuman
3928,2015-07-18,ikan sarden,Ikan Segar
3827,2015-09-30,kerang,Ikan Segar
4699,2015-08-02,bawang merah,Sayuran
4747,2015-08-06,bayam,Sayuran
3028,2015-09-06,sosis,Makanan dan Minuman
2851,2015-03-16,roti bolu,Makanan dan Minuman
4417,2015-02-25,anggur,Buah-buahan
3822,2015-07-03,pare,Sayuran
2288,2015-05-31,kopi,Makanan dan Minuman
2184,2015-06-30,jagung,Sayuran
4554,2015-08-27,susu sapi,Makanan dan Minuman
3361,2015-05-03,apel,Buah-buahan
2999,2015-04-17,daging sapi,Daging-dagingan
2614,2015-06-25,susu sapi,Makanan dan Minuman
4064,2015-05-06,sosis,Makanan dan Minuman
3567,2015-04-10,apel,Buah-buahan
2587,2015-07-05,wortel,Sayuran
3783,2015-06-17,mie instan,Bahan dan Bumbu Makanan
1923,2015-02-14,gurita,Ikan Segar
4835,2015-02-19,kerang,Ikan Segar
1514,2015-08-24,susu sapi,Makanan dan Minuman
3154,2015-06-22,mie instan,Bahan dan Bumbu Makanan
1313,2015-12-25,bayam,Sayuran
2794,2015-07-18,daging sapi,Daging-dagingan
2359,2015-09-04,bayam,Sayuran
2238,2015-09-03,melon,Buah-buahan
3795,2015-01-17,kepiting,Ikan Segar
3724,2015-11-26,melon,Buah-buahan
1152,2015-05-03,susu sapi,Makanan dan Minuman
4559,2015-03-16,susu sapi,Makanan dan Minuman
3922,2015-02-27,beras,Bahan dan Bumbu Makanan
1709,2015-04-22,sosis,Makanan dan Minuman
2219,2015-04-17,bayam,Sayuran
2206,2015-10-17,daging sapi,Daging-dagingan
1752,2015-06-04,bayam,Sayuran
3942,2015-10-11,bayam,Sayuran
3296,2015-08-17,soda,Bahan dan Bumbu Makanan
2257,2015-05-02,rempah-rempah,Bahan dan Bumbu Makanan
4313,2015-07-28,sosis,Makanan dan Minuman
2001,2015-08-21,roti bolu,Makanan dan Minuman
2449,2015-08-07,melon,Buah-buahan
4914,2015-12-04,sosis,Makanan dan Minuman
2764,2015-07-24,bayam,Sayuran
4187,2015-09-05,stroberi,Buah-buahan
1392,2015-04-20,daging bebek,Daging-dagingan
3427,2015-04-28,melon,Buah-buahan
1411,2015-02-20,sosis,Makanan dan Minuman
3390,2015-11-14,soda,Bahan dan Bumbu Makanan
4787,2015-01-08,daging sapi,Daging-dagingan
3310,2015-01-17,wortel,Sayuran
1782,2015-10-10,ikan lele,Ikan Segar
3375,2015-04-26,sosis,Makanan dan Minuman
2760,2015-07-01,sosis,Makanan dan Minuman
4249,2015-09-13,wortel,Sayuran
2904,2015-06-06,cokelat,Buah-buahan
4090,2015-02-26,melon,Buah-buahan
3060,2015-05-07,wortel,Sayuran
3768,2015-07-10,susu sapi,Makanan dan Minuman
1232,2015-01-21,roti bolu,Makanan dan Minuman
1360,2015-10-23,ikan lele,Ikan Segar
1107,2015-01-10,buah jeruk,Buah-buahan
2865,2015-04-11,kelapa,Buah-buahan
2958,2015-06-14,roti bolu,Makanan dan Minuman
2448,2015-12-07,mentega,Bahan dan Bumbu Makanan
1222,2015-09-24,susu kental manis,Bahan dan Bumbu Makanan
2943,2015-06-20,sosis,Makanan dan Minuman
2270,2015-11-08,susu sapi,Makanan dan Minuman
3812,2015-07-21,sosis,Makanan dan Minuman
1482,2015-11-22,gurita,Ikan Segar
4720,2015-02-22,gurita,Ikan Segar
1344,2015-04-09,air mineral,Makanan dan Minuman
2397,2015-04-10,penyedap rasa,Bahan dan Bumbu Makanan
4182,2015-12-05,selada,Sayuran
4487,2015-10-07,sosis,Makanan dan Minuman
3467,2015-12-24,penyedap rasa,Bahan dan Bumbu Makanan
2443,2015-11-15,sosis,Makanan dan Minuman
2749,2015-01-27,seledri,Sayuran
4389,2015-04-13,anggur,Buah-buahan
1674,2015-04-12,sosis,Makanan dan Minuman
4262,2015-10-16,daging sapi,Daging-dagingan
2082,2015-07-04,sosis,Makanan dan Minuman
4494,2015-06-01,kacang telur,Makanan dan Minuman
2460,2015-09-28,wortel,Sayuran
4509,2015-11-29,apel,Buah-buahan
2267,2015-03-07,daging sapi,Daging-dagingan
4891,2015-05-09,susu sapi,Makanan dan Minuman
3962,2015-09-20,sosis,Makanan dan Minuman
4964,2015-07-18,sosis,Makanan dan Minuman
2914,2015-11-30,daging sapi,Daging-dagingan
2808,2015-05-05,pare,Sayuran
1085,2015-08-15,pare,Sayuran
3808,2015-08-18,susu sapi,Makanan dan Minuman
4149,2015-07-01,buah jeruk,Buah-buahan
2331,2015-05-06,buah jeruk,Buah-buahan
4475,2015-03-04,bayam,Sayuran
2761,2015-04-25,buah jeruk,Buah-buahan
2620,2015-12-14,sosis,Makanan dan Minuman
3206,2015-10-13,sosis,Makanan dan Minuman
1226,2015-04-13,ikan nila,Ikan Segar
1395,2015-07-03,bubuk lada,Bahan dan Bumbu Makanan
2465,2015-07-06,jahe,Bahan dan Bumbu Makanan
3572,2015-09-07,ikan lele,Ikan Segar
4387,2015-08-05,susu sapi,Makanan dan Minuman
1555,2015-03-27,roti bolu,Makanan dan Minuman
1181,2015-11-16,sosis,Makanan dan Minuman
2814,2015-11-05,kacang telur,Makanan dan Minuman
2794,2015-09-16,bawang putih,Sayuran
2912,2015-01-28,nanas,Buah-buahan
4667,2015-12-01,pare,Sayuran
2235,2015-10-25,soda,Bahan dan Bumbu Makanan
2353,2015-02-05,soda,Bahan dan Bumbu Makanan
3449,2015-08-03,sosis,Makanan dan Minuman
1058,2015-10-11,pare,Sayuran
1027,2015-05-17,ikan lele,Ikan Segar
3302,2015-05-22,ikan lele,Ikan Segar
2229,2015-05-30,cokelat,Buah-buahan
2188,2015-08-15,udang,Ikan Segar
1547,2015-04-18,daun singkong,Sayuran
1649,2015-06-30,air mineral,Makanan dan Minuman
3254,2015-10-09,sosis,Makanan dan Minuman
2818,2015-07-11,apel,Buah-buahan
2703,2015-08-05,wortel,Sayuran
3332,2015-01-31,pare,Sayuran
2473,2015-01-07,daging sapi,Daging-dagingan
2810,2015-12-30,sosis,Makanan dan Minuman
1033,2015-04-22,apel,Buah-buahan
4222,2015-05-27,apel,Buah-buahan
3679,2015-09-21,buah jeruk,Buah-buahan
2212,2015-08-27,kerang,Ikan Segar
1507,2015-06-22,daging ayam,Daging-dagingan
2870,2015-01-21,daging ayam,Daging-dagingan
3429,2015-04-26,sosis,Makanan dan Minuman
4148,2015-09-04,wortel,Sayuran
2970,2015-12-30,jahe,Bahan dan Bumbu Makanan
2013,2015-08-30,kentang,Sayuran
3967,2015-05-30,bawang merah,Sayuran
2885,2015-05-15,buah jeruk,Buah-buahan
3935,2015-02-07,sosis,Makanan dan Minuman
3283,2015-01-05,susu sapi,Makanan dan Minuman
3268,2015-06-11,wortel,Sayuran
3677,2015-04-30,buah jeruk,Buah-buahan
3495,2015-06-27,bawang putih,Sayuran
1410,2015-04-10,buah jeruk,Buah-buahan
2440,2015-06-06,sosis,Makanan dan Minuman
4088,2015-01-13,daging ayam,Daging-dagingan
2469,2015-09-23,kerang,Ikan Segar
4229,2015-06-03,sosis,Makanan dan Minuman
2728,2015-02-08,daging sapi,Daging-dagingan
4694,2015-01-25,buah jeruk,Buah-buahan
2836,2015-12-29,susu sapi uht,Makanan dan Minuman
1311,2015-12-02,permen,Makanan dan Minuman
1760,2015-01-23,penyedap rasa,Bahan dan Bumbu Makanan
3656,2015-02-03,daging sapi,Daging-dagingan
3720,2015-05-28,sosis,Makanan dan Minuman
2996,2015-09-26,sosis,Makanan dan Minuman
1949,2015-07-22,wortel,Sayuran
4498,2015-11-02,kepiting,Ikan Segar
2447,2015-12-28,bawang merah,Sayuran
1952,2015-03-23,apel,Buah-buahan
4099,2015-01-27,air mineral,Makanan dan Minuman
1804,2015-12-03,daging sapi,Daging-dagingan
1510,2015-05-16,sosis,Makanan dan Minuman
2879,2015-04-18,lobak,Sayuran
4899,2015-12-03,daging ayam,Daging-dagingan
4326,2015-09-29,ikan lele,Ikan Segar
1670,2015-05-17,kacang telur,Makanan dan Minuman
1117,2015-05-24,daging sapi,Daging-dagingan
1346,2015-03-04,bayam,Sayuran
1178,2015-11-15,air mineral,Makanan dan Minuman
1649,2015-06-25,apel,Buah-buahan
4651,2015-06-21,gula,Bahan dan Bumbu Makanan
4243,2015-02-04,sosis,Makanan dan Minuman
4429,2015-07-21,anggur,Buah-buahan
4645,2015-07-25,minyak goreng,Bahan dan Bumbu Makanan
4019,2015-07-24,roti bolu,Makanan dan Minuman
4459,2015-04-26,apel,Buah-buahan
3006,2015-12-27,daging ayam,Daging-dagingan
1834,2015-09-17,sosis,Makanan dan Minuman
3236,2015-04-07,beri,Buah-buahan
1765,2015-11-03,margarin,Bahan dan Bumbu Makanan
3855,2015-09-03,apel,Buah-buahan
4392,2015-11-28,daging sapi,Daging-dagingan
3330,2015-07-26,kerang,Ikan Segar
1723,2015-02-09,yogurt,Makanan dan Minuman
4110,2015-03-30,soda,Bahan dan Bumbu Makanan
2600,2015-01-28,yogurt,Makanan dan Minuman
2946,2015-07-10,soda,Bahan dan Bumbu Makanan
2426,2015-08-09,air mineral,Makanan dan Minuman
4170,2015-03-05,sosis,Makanan dan Minuman
1109,2015-06-04,buah jeruk,Buah-buahan
3429,2015-04-01,bubur instan,Makanan dan Minuman
2055,2015-04-02,penyedap rasa,Bahan dan Bumbu Makanan
2480,2015-09-20,sosis,Makanan dan Minuman
2441,2015-05-30,sosis,Makanan dan Minuman
1054,2015-04-10,sosis,Makanan dan Minuman
4818,2015-11-01,garam,Bahan dan Bumbu Makanan
3379,2015-01-21,minyak,Bahan dan Bumbu Makanan
3939,2015-10-02,melon,Buah-buahan
1367,2015-05-08,bayam,Sayuran
1043,2015-10-01,buah jeruk,Buah-buahan
2231,2015-10-17,sosis,Makanan dan Minuman
3235,2015-12-28,pare,Sayuran
4554,2015-07-16,apel,Buah-buahan
3245,2015-01-24,daging sapi,Daging-dagingan
2996,2015-05-19,beri,Buah-buahan
2507,2015-05-01,wortel,Sayuran
4186,2015-10-25,tepung beras,Bahan dan Bumbu Makanan
3929,2015-04-28,pare,Sayuran
3760,2015-11-22,susu sapi,Makanan dan Minuman
4928,2015-08-18,daging sapi,Daging-dagingan
4217,2015-12-18,kangkung,Sayuran
1174,2015-11-02,roti bolu,Makanan dan Minuman
4103,2015-06-19,susu sapi,Makanan dan Minuman
4408,2015-03-13,susu sapi,Makanan dan Minuman
2588,2015-12-28,buah jeruk,Buah-buahan
2598,2015-11-11,daun singkong,Sayuran
1518,2015-11-12,sosis,Makanan dan Minuman
2702,2015-08-04,apel,Buah-buahan
1001,2015-01-20,sosis,Makanan dan Minuman
2270,2015-09-30,beri,Buah-buahan
2838,2015-10-11,roti bolu,Makanan dan Minuman
1683,2015-05-26,pare,Sayuran
4040,2015-03-04,yogurt,Makanan dan Minuman
3897,2015-08-23,bayam,Sayuran
2200,2015-11-03,beri,Buah-buahan
4073,2015-01-29,beri,Buah-buahan
3700,2015-04-19,bayam,Sayuran
3973,2015-10-06,roti bolu,Makanan dan Minuman
2715,2015-06-07,daging sapi,Daging-dagingan
3967,2015-11-23,susu sapi,Makanan dan Minuman
4002,2015-03-09,apel,Buah-buahan
2962,2015-01-03,air mineral,Makanan dan Minuman
4340,2015-12-25,ikan sarden,Ikan Segar
2092,2015-06-11,penyedap rasa,Bahan dan Bumbu Makanan
3143,2015-05-24,kopi,Makanan dan Minuman
2209,2015-03-10,kepiting,Ikan Segar
2816,2015-08-22,bawang merah,Sayuran
2659,2015-01-06,kerang,Ikan Segar
1588,2015-10-13,sosis,Makanan dan Minuman
1144,2015-10-15,ikan nila,Ikan Segar
2166,2015-10-12,sosis,Makanan dan Minuman
3300,2015-06-10,kerang,Ikan Segar
3944,2015-03-01,bawang merah,Sayuran
4979,2015-04-24,kopi,Makanan dan Minuman
2630,2015-01-21,bubur instan,Makanan dan Minuman
4240,2015-04-29,yogurt,Makanan dan Minuman
2357,2015-08-07,soda,Bahan dan Bumbu Makanan
1743,2015-04-18,keju,Makanan dan Minuman
2331,2015-02-15,sosis,Makanan dan Minuman
1643,2015-04-28,yogurt,Makanan dan Minuman
1291,2015-03-20,minyak goreng,Bahan dan Bumbu Makanan
3675,2015-04-07,susu sapi,Makanan dan Minuman
4134,2015-06-11,daging sapi,Daging-dagingan
1363,2015-06-21,telur ayam,Bahan dan Bumbu Makanan
4212,2015-01-05,bayam,Sayuran
1500,2015-03-21,susu sapi,Makanan dan Minuman
2622,2015-01-10,bayam,Sayuran
3543,2015-03-18,apel,Buah-buahan
2525,2015-05-24,bubuk pengembang,Bahan dan Bumbu Makanan
1264,2015-12-10,daging bebek,Daging-dagingan
3601,2015-06-07,kacang telur,Makanan dan Minuman
1771,2015-03-23,sosis,Makanan dan Minuman
4694,2015-06-02,wortel,Sayuran
1122,2015-12-21,air mineral,Makanan dan Minuman
3507,2015-12-08,bayam,Sayuran
4524,2015-04-26,buah jeruk,Buah-buahan
3612,2015-09-27,sosis,Makanan dan Minuman
3262,2015-11-06,minyak goreng,Bahan dan Bumbu Makanan
1897,2015-01-25,ikan lele,Ikan Segar
1656,2015-10-30,kunyit,Bahan dan Bumbu Makanan
3953,2015-10-01,ikan lele,Ikan Segar
1488,2015-06-21,daging sapi,Daging-dagingan
1652,2015-03-17,bayam,Sayuran
4953,2015-09-16,daging ayam,Daging-dagingan
3445,2015-04-30,soda,Bahan dan Bumbu Makanan
3180,2015-03-15,susu sapi,Makanan dan Minuman
4934,2015-06-09,roti bolu,Makanan dan Minuman
2980,2015-04-27,kepiting,Ikan Segar
2763,2015-02-13,pare,Sayuran
4819,2015-04-03,daun singkong,Sayuran
3169,2015-02-07,beri,Buah-buahan
1850,2015-11-03,buah jeruk,Buah-buahan
4285,2015-12-29,susu sapi,Makanan dan Minuman
4366,2015-08-13,soda,Bahan dan Bumbu Makanan
2253,2015-06-16,air mineral,Makanan dan Minuman
3398,2015-11-03,apel,Buah-buahan
2215,2015-07-22,nastar,Makanan dan Minuman
3737,2015-03-03,air mineral,Makanan dan Minuman
2649,2015-11-28,cokelat,Buah-buahan
3203,2015-07-08,buah jeruk,Buah-buahan
4261,2015-02-16,air mineral,Makanan dan Minuman
2435,2015-07-17,bawang merah,Sayuran
2046,2015-08-21,beras,Bahan dan Bumbu Makanan
4267,2015-11-02,daging sapi,Daging-dagingan
1086,2015-12-28,roti bolu,Makanan dan Minuman
1992,2015-04-01,daging sapi,Daging-dagingan
3622,2015-07-26,soda,Bahan dan Bumbu Makanan
4700,2015-06-27,kopi,Makanan dan Minuman
2272,2015-05-16,roti bolu,Makanan dan Minuman
1663,2015-05-19,ikan lele,Ikan Segar
2519,2015-03-06,soda,Bahan dan Bumbu Makanan
2639,2015-10-30,sosis,Makanan dan Minuman
1466,2015-04-19,daging sapi,Daging-dagingan
4122,2015-10-23,susu sapi,Makanan dan Minuman
3598,2015-04-15,ikan lele,Ikan Segar
3097,2015-10-08,beri,Buah-buahan
1873,2015-09-19,sosis,Makanan dan Minuman
1537,2015-01-02,air mineral,Makanan dan Minuman
3960,2015-03-25,apel,Buah-buahan
1136,2015-06-15,rempah-rempah,Bahan dan Bumbu Makanan
2453,2015-12-21,yogurt,Makanan dan Minuman
1746,2015-02-15,bubur instan,Makanan dan Minuman
3572,2015-09-06,cokelat,Buah-buahan
3246,2015-06-24,kopi,Makanan dan Minuman
3207,2015-11-26,kepiting,Ikan Segar
1042,2015-12-02,daging sapi,Daging-dagingan
1176,2015-03-30,susu sapi,Makanan dan Minuman
3054,2015-02-23,sosis,Makanan dan Minuman
4486,2015-02-12,sosis,Makanan dan Minuman
1580,2015-05-12,bayam,Sayuran
1623,2015-02-11,sosis,Makanan dan Minuman
4169,2015-11-24,susu sapi,Makanan dan Minuman
2254,2015-01-24,sosis,Makanan dan Minuman
4095,2015-01-11,bayam,Sayuran
1264,2015-11-17,air mineral,Makanan dan Minuman
3375,2015-06-01,ikan lele,Ikan Segar
3242,2015-05-23,air mineral,Makanan dan Minuman
2227,2015-07-06,bayam,Sayuran
3847,2015-03-12,kerang,Ikan Segar
3897,2015-05-31,kerang,Ikan Segar
1799,2015-09-27,bubur instan,Makanan dan Minuman
2920,2015-04-26,susu sapi,Makanan dan Minuman
3713,2015-01-31,kacang telur,Makanan dan Minuman
4230,2015-05-11,daun singkong,Sayuran
1455,2015-03-18,daging sapi,Daging-dagingan
3687,2015-03-18,sosis,Makanan dan Minuman
3869,2015-01-08,sosis,Makanan dan Minuman
2988,2015-10-14,kepiting,Ikan Segar
4242,2015-03-30,air mineral,Makanan dan Minuman
4118,2015-12-24,daging sapi,Daging-dagingan
4996,2015-10-24,beras,Bahan dan Bumbu Makanan
4489,2015-04-03,bayam,Sayuran
1199,2015-09-11,gurita,Ikan Segar
4108,2015-12-05,daging sapi,Daging-dagingan
3484,2015-05-06,daging bebek,Daging-dagingan
1239,2015-08-31,roti cokelat,Makanan dan Minuman
4839,2015-12-19,susu sapi,Makanan dan Minuman
4748,2015-07-05,roti bolu,Makanan dan Minuman
4426,2015-06-06,kepiting,Ikan Segar
3571,2015-11-12,cabai rawit,Sayuran
2852,2015-08-06,buah jeruk,Buah-buahan
3638,2015-05-26,ikan lele,Ikan Segar
3635,2015-10-03,bayam,Sayuran
2723,2015-07-05,anggur,Buah-buahan
3495,2015-11-03,susu sapi,Makanan dan Minuman
2813,2015-11-16,nanas,Buah-buahan
2799,2015-02-09,gula,Bahan dan Bumbu Makanan
4723,2015-05-22,apel,Buah-buahan
3313,2015-08-04,pare,Sayuran
4748,2015-12-15,soda,Bahan dan Bumbu Makanan
2991,2015-02-16,susu sapi,Makanan dan Minuman
1483,2015-01-04,apel,Buah-buahan
3950,2015-01-10,roti bolu,Makanan dan Minuman
1634,2015-01-16,roti cokelat,Makanan dan Minuman
2694,2015-11-21,apel,Buah-buahan
2707,2015-10-18,minyak goreng,Bahan dan Bumbu Makanan
2813,2015-07-16,kopi,Makanan dan Minuman
2276,2015-11-01,soda,Bahan dan Bumbu Makanan
4726,2015-06-02,susu sapi,Makanan dan Minuman
4353,2015-05-25,kepiting,Ikan Segar
4017,2015-08-13,ikan lele,Ikan Segar
1422,2015-08-21,bayam,Sayuran
2714,2015-03-15,yogurt,Makanan dan Minuman
2769,2015-07-21,bawang bombai,Sayuran
4166,2015-04-30,air mineral,Makanan dan Minuman
3614,2015-02-03,buah jeruk,Buah-buahan
4361,2015-05-09,kerang,Ikan Segar
1922,2015-09-22,kentang,Sayuran
4728,2015-06-09,bayam,Sayuran
3646,2015-08-08,soda,Bahan dan Bumbu Makanan
1155,2015-10-08,susu sapi,Makanan dan Minuman
2119,2015-11-06,rempah-rempah,Bahan dan Bumbu Makanan
1602,2015-08-29,buah jeruk,Buah-buahan
1074,2015-06-24,seledri,Sayuran
2256,2015-11-04,kecambah,Sayuran
1348,2015-09-17,soda,Bahan dan Bumbu Makanan
3806,2015-08-28,apel,Buah-buahan
1711,2015-06-06,soda,Bahan dan Bumbu Makanan
3959,2015-12-04,roti bolu,Makanan dan Minuman
1590,2015-08-15,kopi,Makanan dan Minuman
1962,2015-08-06,apel,Buah-buahan
1766,2015-01-21,ikan lele,Ikan Segar
2551,2015-10-21,buah jeruk,Buah-buahan
2294,2015-09-23,sosis,Makanan dan Minuman
4531,2015-05-29,sosis,Makanan dan Minuman
2957,2015-12-04,sosis,Makanan dan Minuman
4415,2015-01-27,bayam,Sayuran
1476,2015-08-26,yogurt,Makanan dan Minuman
3978,2015-07-23,sosis,Makanan dan Minuman
2062,2015-09-22,susu sapi,Makanan dan Minuman
3252,2015-06-28,nanas,Buah-buahan
3922,2015-06-24,susu sapi,Makanan dan Minuman
1491,2015-10-17,pare,Sayuran
3526,2015-08-26,bawang merah,Sayuran
4060,2015-11-12,cokelat,Buah-buahan
1067,2015-08-04,kerang,Ikan Segar
2840,2015-01-27,gula,Bahan dan Bumbu Makanan
4484,2015-11-27,roti bolu,Makanan dan Minuman
2353,2015-07-02,wortel,Sayuran
3130,2015-02-18,wortel,Sayuran
4273,2015-06-14,bayam,Sayuran
4565,2015-12-30,wortel,Sayuran
2504,2015-08-14,melon,Buah-buahan
4127,2015-10-23,mentega,Bahan dan Bumbu Makanan
2690,2015-01-04,bayam,Sayuran
4129,2015-09-22,susu sapi,Makanan dan Minuman
4511,2015-06-29,daging sapi,Daging-dagingan
1602,2015-04-08,sosis,Makanan dan Minuman
4369,2015-01-02,soda,Bahan dan Bumbu Makanan
1302,2015-09-29,udang,Ikan Segar
3326,2015-04-30,roti bolu,Makanan dan Minuman
2066,2015-05-21,nanas,Buah-buahan
3483,2015-01-15,kangkung,Sayuran
2840,2015-12-02,gurita,Ikan Segar
